member_number,db_id,source_member_id,household_id,full_name,tier,relationship,seniority_level,job_title,organisation_unit,physical_address,region,district,nwsc_area,town_or_ward,onboarded_via
NWSC-2026-02200,nw8cc90ba6e59d17daab69,NWSC-MEM-001257,NWSC-HH-000705,Geoffrey Kagoya,Officer,Spouse,Dependant,,,"Plot 694, School Lane, Kibibi, Mpigi District, Uganda",Central Region,Mpigi,Buwama,Kibibi,DB
NWSC-2026-02201,nw5c2b49960e3e7db473e8,NWSC-MEM-001258,NWSC-HH-000507,Margaret Tusubira,Management,Child,Dependant,,,"Plot 250, Hill Road, Kibibi, Mpigi District, Uganda",Central Region,Mpigi,Buwama,Kibibi,DB
NWSC-2026-02202,nw93c8b095613f72e01227,NWSC-MEM-001259,NWSC-HH-000536,Richard Nakimuli,Staff,Child,Dependant,,,"Plot 946, Water Works Road, Bweyale, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Bweyale,DB
NWSC-2026-02203,nw6efc5e75e18e21aba667,NWSC-MEM-001260,NWSC-HH-000540,Michael Ocen,Officer,Spouse,Dependant,,,"Plot 204, Market Street, Buwuni, Bugiri District, Uganda",Central Region,Bugiri,Bugiri,Buwuni,DB
NWSC-2026-02204,nwb5432f40697e2c5eff15,NWSC-MEM-001261,NWSC-HH-000648,Akello Anywar,Management,Child,Dependant,,,"Plot 179, Reservoir Road, Kiryandongo, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Kiryandongo,DB
NWSC-2026-02205,nw7af5493bfd6fc817041a,NWSC-MEM-001262,NWSC-HH-000506,Susan Lwanga,Staff,Child,Dependant,,,"Plot 26, School Lane, Masaka, Masaka District, Uganda",Central Region,Masaka,Masaka,Masaka,DB
NWSC-2026-02206,nwe56481316fe7dc3f899e,NWSC-MEM-001263,NWSC-HH-000684,Sylvia Nakku,Staff,Child,Dependant,,,"Plot 596, School Lane, Bweyale, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Bweyale,DB
NWSC-2026-02207,nw00812f7da202f7f1002c,NWSC-MEM-001264,NWSC-HH-000780,Achen Walusimbi,Officer,Child,Dependant,,,"Plot 30, Civic Road, Lugazi, Buikwe District, Uganda",Central Region,Buikwe,Lugazi,Lugazi,DB
NWSC-2026-02208,nwdc05f9aa8cec20c1fdae,NWSC-MEM-001265,NWSC-HH-000649,Mary Nansubuga,Staff,Child,Dependant,,,"Plot 233, Reservoir Road, Kyotera, Kyotera District, Uganda",Central Region,Kyotera,Kyotera,Kyotera,DB
NWSC-2026-02209,nw46f5162b8c548265583e,NWSC-MEM-001266,NWSC-HH-000535,Mark Olanya,Staff,Spouse,Dependant,,,"Plot 365, Station Road, Nyalweyo, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nyalweyo,DB
NWSC-2026-02210,nw906adfbecca2a91b02e6,NWSC-MEM-001267,NWSC-HH-000721,Timothy Agaba,Officer,Child,Dependant,,,"Plot 287, Main Street, Buwuni, Bugiri District, Uganda",Central Region,Bugiri,Bugiri,Buwuni,DB
NWSC-2026-02211,nw5ac32ae472b640ac2281,NWSC-MEM-001268,NWSC-HH-000607,Charles Mukasa,Officer,Child,Dependant,,,"Plot 455, Water Works Road, Nakaseke, Nakaseke District, Uganda",Central Region,Nakaseke,Kapeeka,Nakaseke,DB
NWSC-2026-02212,nwcd79fd7dc59730e82ca8,NWSC-MEM-001269,NWSC-HH-000626,Ruth Otieno,Staff,Child,Dependant,,,"Plot 210, Civic Road, Bombo, Luweero District, Uganda",Central Region,Luweero,Luweero,Bombo,DB
NWSC-2026-02213,nw8621bf937b220bbe13f9,NWSC-MEM-001270,NWSC-HH-000734,Irene Alupo,Management,Parent,Dependant,,,"Plot 461, Market Street, Bukakata, Masaka District, Uganda",Central Region,Masaka,Masaka,Bukakata,DB
NWSC-2026-02214,nw306c15c33654f17bd48c,NWSC-MEM-001271,NWSC-HH-000608,Samuel Mukasa,Staff,Child,Dependant,,,"Plot 109, Spring Road, Buwama, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Buwama,DB
NWSC-2026-02215,nw4deffe69a172798b12a4,NWSC-MEM-001272,NWSC-HH-000757,Violet Wamala,Staff,Child,Dependant,,,"Plot 382, Industrial Lane, Jinja, Jinja District, Uganda",Central Region,Jinja,Jinja,Jinja,DB
NWSC-2026-02216,nwb9f970192346f04e5f15,NWSC-MEM-001273,NWSC-HH-000535,David Olanya,Staff,Spouse,Dependant,,,"Plot 365, Station Road, Nyalweyo, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nyalweyo,DB
NWSC-2026-02217,nwf93a343a171a9ebfc2d7,NWSC-MEM-001274,NWSC-HH-000676,Kato Olanya,Officer,Child,Dependant,,,"Plot 511, Civic Road, Kakooge, Nakasongola District, Uganda",Central Region,Nakasongola,Nakasongola,Kakooge,DB
NWSC-2026-02218,nw3114500953a2eccef570,NWSC-MEM-001275,NWSC-HH-000836,Mark Nantongo,Staff,Child,Dependant,,,"Plot 804, Main Street, Mayuge, Iganga District, Uganda",Central Region,Iganga,Iganga,Mayuge,DB
NWSC-2026-02219,nw53f74d07d3cded2ad270,NWSC-MEM-001276,NWSC-HH-000703,Stephen Otieno,Officer,Sibling,Dependant,,,"Plot 452, School Lane, Wobulenzi, Luweero District, Uganda",Central Region,Luweero,Luweero,Wobulenzi,DB
NWSC-2026-02220,nwa3eedbafb1325b048a67,NWSC-MEM-001277,NWSC-HH-000496,Ibrahim Baluku,Officer,Child,Dependant,,,"Plot 261, Mission Road, Mabirizi, Lwengo District, Uganda",Central Region,Lwengo,Lwengo,Mabirizi,DB
NWSC-2026-02221,nw4165f87c888406de0582,NWSC-MEM-001278,NWSC-HH-000751,John Mirembe,Officer,Spouse,Dependant,,,"Plot 509, Water Works Road, Nkozi, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Nkozi,DB
NWSC-2026-02222,nw5ec04fa136410fd076c4,NWSC-MEM-001279,NWSC-HH-000806,Linda Waiswa,Executive,Child,Dependant,,,"Plot 460, Church Road, Kajjansi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Kajjansi,DB
NWSC-2026-02223,nw1dbb71dddce19b71d6ae,NWSC-MEM-001280,NWSC-HH-000636,Charles Mukasa,Officer,Child,Dependant,,,"Plot 532, Old Kampala Road, Masaka, Masaka District, Uganda",Central Region,Masaka,Masaka,Masaka,DB
NWSC-2026-02224,nweb120cd4e23797e6bbf0,NWSC-MEM-001281,NWSC-HH-000732,Joseph Kyomuhendo,Officer,Child,Dependant,,,"Plot 534, Old Kampala Road, Bukakata, Masaka District, Uganda",Central Region,Masaka,Masaka,Bukakata,DB
NWSC-2026-02225,nw28e9a8c9e31ed61bb056,NWSC-MEM-001282,NWSC-HH-000633,John Bamwesigye,Officer,Spouse,Dependant,,,"Plot 899, Old Kampala Road, Zirobwe, Luweero District, Uganda",Central Region,Luweero,Luweero,Zirobwe,DB
NWSC-2026-02226,nw173bbbbfd901c23c4bd4,NWSC-MEM-001283,NWSC-HH-000830,Florence Nabirye,Staff,Child,Dependant,,,"Plot 355, Lake View Road, Kinoni, Lwengo District, Uganda",Central Region,Lwengo,Lwengo,Kinoni,DB
NWSC-2026-02227,nwfc75ce1b6d64edcb7861,NWSC-MEM-001284,NWSC-HH-000572,Noah Anywar,Staff,Spouse,Dependant,,,"Plot 470, School Lane, Kamuli, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Kamuli,DB
NWSC-2026-02228,nw6807c2a390a4cd2e5953,NWSC-MEM-001285,NWSC-HH-000496,Patrick Baluku,Officer,Parent,Dependant,,,"Plot 261, Mission Road, Mabirizi, Lwengo District, Uganda",Central Region,Lwengo,Lwengo,Mabirizi,DB
NWSC-2026-02229,nw3802ad830f2b9cdcf0f0,NWSC-MEM-001286,NWSC-HH-000798,Richard Laker,Management,Child,Dependant,,,"Plot 799, Mission Road, Katovu, Lwengo District, Uganda",Central Region,Lwengo,Lwengo,Katovu,DB
NWSC-2026-02230,nw4fa0a703bc5337a767b3,NWSC-MEM-001287,NWSC-HH-000606,Agnes Tumusiime,Staff,Child,Dependant,,,"Plot 250, Spring Road, Mubende, Mubende District, Uganda",Central Region,Mubende,Mubende,Mubende,DB
NWSC-2026-02231,nw11b1db0adef01f442583,NWSC-MEM-001288,NWSC-HH-000597,Linda Kizza,Officer,Child,Dependant,,,"Plot 357, Mission Road, Najjembe, Buikwe District, Uganda",Central Region,Buikwe,Lugazi,Najjembe,DB
NWSC-2026-02232,nw449fad10951a68a7c3fc,NWSC-MEM-001289,NWSC-HH-000828,Joseph Odongo,Staff,Child,Dependant,,,"Plot 975, Civic Road, Kisozi, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Kisozi,DB
NWSC-2026-02233,nwef3b2992b51058f1ac96,NWSC-MEM-001290,NWSC-HH-000523,Patrick Akena,Executive,Child,Dependant,,,"Plot 486, Station Road, Kajjansi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Kajjansi,DB
NWSC-2026-02234,nw590f44cd224cd241d81c,NWSC-MEM-001291,NWSC-HH-000500,Godfrey Obote,Officer,Child,Dependant,,,"Plot 858, Church Road, Jinja, Jinja District, Uganda",Central Region,Jinja,Jinja,Jinja,DB
NWSC-2026-02235,nw2711f839de88c5d7aa2e,NWSC-MEM-001292,NWSC-HH-000526,Achen Nansubuga,Officer,Child,Dependant,,,"Plot 340, Hill Road, Mbulamuti, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Mbulamuti,DB
NWSC-2026-02236,nw51ca87ceb8bbfe147796,NWSC-MEM-001293,NWSC-HH-000587,Lydia Mutebi,Officer,Child,Dependant,,,"Plot 269, Hill Road, Luweero, Luweero District, Uganda",Central Region,Luweero,Luweero,Luweero,DB
NWSC-2026-02237,nwcdd7126276d456406410,NWSC-MEM-001294,NWSC-HH-000826,Sylvia Opio,Officer,Spouse,Dependant,,,"Plot 939, Civic Road, Nkooko, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nkooko,DB
NWSC-2026-02238,nwa238fcced624567c8ed1,NWSC-MEM-001295,NWSC-HH-000669,Godfrey Akello,Staff,Spouse,Dependant,,,"Plot 381, Water Works Road, Kibibi, Mpigi District, Uganda",Central Region,Mpigi,Buwama,Kibibi,DB
NWSC-2026-02239,nw78a7bdb7fbe24e2a6f30,NWSC-MEM-001296,NWSC-HH-000589,Okello Kyomuhendo,Officer,Child,Dependant,,,"Plot 384, Station Road, Bweyale, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Bweyale,DB
NWSC-2026-02240,nw49202ee8e12f5fea72ae,NWSC-MEM-001297,NWSC-HH-000576,Ibrahim Kakooza,Staff,Parent,Dependant,,,"Plot 139, Station Road, Nkooko, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nkooko,DB
NWSC-2026-02241,nwd5450b1ee648c2a14892,NWSC-MEM-001298,NWSC-HH-000594,Irene Kato,Staff,Child,Dependant,,,"Plot 832, High Street, Kinoni, Lwengo District, Uganda",Central Region,Lwengo,Lwengo,Kinoni,DB
NWSC-2026-02242,nwbdff67c2d960503ccdd7,NWSC-MEM-001299,NWSC-HH-000606,Ibrahim Tumusiime,Staff,Child,Dependant,,,"Plot 250, Spring Road, Mubende, Mubende District, Uganda",Central Region,Mubende,Mubende,Mubende,DB
NWSC-2026-02243,nw8bd0566598e94dc2eecc,NWSC-MEM-001300,NWSC-HH-000667,Simon Mukasa,Officer,Child,Dependant,,,"Plot 864, Lake View Road, Buwenge, Jinja District, Uganda",Central Region,Jinja,Jinja,Buwenge,DB
NWSC-2026-02244,nw1c0602ddd35989796943,NWSC-MEM-001301,NWSC-HH-000531,Mark Okot,Staff,Child,Dependant,,,"Plot 928, Council Road, Buwuni, Bugiri District, Uganda",Central Region,Bugiri,Bugiri,Buwuni,DB
NWSC-2026-02245,nw1cc228a3853ee49f7062,NWSC-MEM-001302,NWSC-HH-000630,Ben Walusimbi,Staff,Spouse,Dependant,,,"Plot 72, School Lane, Luweero, Luweero District, Uganda",Central Region,Luweero,Luweero,Luweero,DB
NWSC-2026-02246,nw7dbe13ca0313ee532de6,NWSC-MEM-001303,NWSC-HH-000838,Andrew Mugisha,Staff,Child,Dependant,,,"Plot 203, Council Road, Kasambya, Mubende District, Uganda",Central Region,Mubende,Mubende,Kasambya,DB
NWSC-2026-02247,nw0d8bcfd0905c4f31e85c,NWSC-MEM-001304,NWSC-HH-000668,Opio Kiconco,Staff,Sibling,Dependant,,,"Plot 994, School Lane, Kagoma, Jinja District, Uganda",Central Region,Jinja,Jinja,Kagoma,DB
NWSC-2026-02248,nwfc0b359f9779375d00bb,NWSC-MEM-001305,NWSC-HH-000695,Halima Baluku,Officer,Spouse,Dependant,,,"Plot 4, Council Road, Nkokonjeru, Buikwe District, Uganda",Central Region,Buikwe,Lugazi,Nkokonjeru,DB
NWSC-2026-02249,nw099e788b9ae28e0068e2,NWSC-MEM-001306,NWSC-HH-000569,Susan Obote,Staff,Child,Dependant,,,"Plot 663, Lake View Road, Luweero, Luweero District, Uganda",Central Region,Luweero,Luweero,Luweero,DB
NWSC-2026-02250,nw10a957bc2165c8823dc0,NWSC-MEM-001307,NWSC-HH-000526,Florence Nansubuga,Officer,Child,Dependant,,,"Plot 340, Hill Road, Mbulamuti, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Mbulamuti,DB
NWSC-2026-02251,nw69030d349e80b2b645ec,NWSC-MEM-001308,NWSC-HH-000627,Agnes Kisembo,Management,Child,Dependant,,,"Plot 100, High Street, Mpigi, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Mpigi,DB
NWSC-2026-02252,nwb41bd89595aae6739e85,NWSC-MEM-001309,NWSC-HH-000715,Mary Olanya,Officer,Child,Dependant,,,"Plot 420, School Lane, Busembatya, Iganga District, Uganda",Central Region,Iganga,Iganga,Busembatya,DB
NWSC-2026-02253,nwab884111484a8bb78d02,NWSC-MEM-001310,NWSC-HH-000687,Simon Okello,Officer,Child,Dependant,,,"Plot 929, Market Street, Kasambya, Mubende District, Uganda",Central Region,Mubende,Mubende,Kasambya,DB
NWSC-2026-02254,nw82badda7846fae8b2489,NWSC-MEM-001311,NWSC-HH-000804,Angela Kakooza,Management,Spouse,Dependant,,,"Plot 873, Council Road, Busimbi, Mityana District, Uganda",Central Region,Mityana,Mityana,Busimbi,DB
NWSC-2026-02255,nwa9272cf1c3e4364c99ee,NWSC-MEM-001312,NWSC-HH-000791,Aisha Otieno,Staff,Child,Dependant,,,"Plot 489, Main Street, Njeru, Jinja District, Uganda",Central Region,Jinja,Jinja,Njeru,DB
NWSC-2026-02256,nw0d6e0e1bd566bca09c03,NWSC-MEM-001313,NWSC-HH-000513,Peter Okot,Officer,Child,Dependant,,,"Plot 204, Church Road, Katabi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Katabi,DB
NWSC-2026-02257,nwf476a795db9594e79429,NWSC-MEM-001314,NWSC-HH-000686,Florence Bukenya,Management,Child,Dependant,,,"Plot 611, Church Road, Kalisizo, Kyotera District, Uganda",Central Region,Kyotera,Kyotera,Kalisizo,DB
NWSC-2026-02258,nwdb37b21e2b5f4a07973a,NWSC-MEM-001315,NWSC-HH-000783,Joshua Namutebi,Staff,Child,Dependant,,,"Plot 267, Main Street, Kajjansi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Kajjansi,DB
NWSC-2026-02259,nwbaad2a186acbbdd463dd,NWSC-MEM-001316,NWSC-HH-000647,Brenda Kahuma,Staff,Spouse,Dependant,,,"Plot 693, Mission Road, Migeera, Nakasongola District, Uganda",Central Region,Nakasongola,Nakasongola,Migeera,DB
NWSC-2026-02260,nw8334257b18dbe7f683cc,NWSC-MEM-001317,NWSC-HH-000693,Joseph Tusubira,Officer,Child,Dependant,,,"Plot 572, Lake View Road, Kiganda, Mubende District, Uganda",Central Region,Mubende,Mubende,Kiganda,DB
NWSC-2026-02261,nw96a0c73d81ef4184548a,NWSC-MEM-001318,NWSC-HH-000618,Florence Kiconco,Staff,Child,Dependant,,,"Plot 31, Spring Road, Kiryandongo, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Kiryandongo,DB
NWSC-2026-02262,nw35605dfe819acc68afcc,NWSC-MEM-001319,NWSC-HH-000535,Collins Olanya,Staff,Spouse,Dependant,,,"Plot 365, Station Road, Nyalweyo, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nyalweyo,DB
NWSC-2026-02263,nw4eb8fae257197e6f6c7c,NWSC-MEM-001320,NWSC-HH-000765,Akello Auma,Officer,Child,Dependant,,,"Plot 288, School Lane, Kalungu, Kalungu District, Uganda",Central Region,Kalungu,Kalungu,Kalungu,DB
NWSC-2026-02264,nw409079f836143c8a3c73,NWSC-MEM-001321,NWSC-HH-000624,Grace Mugisha,Executive,Spouse,Dependant,,,"Plot 6, Spring Road, Kigumba, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Kigumba,DB
NWSC-2026-02265,nwb35e0051526d3e439e4d,NWSC-MEM-001322,NWSC-HH-000614,Mark Kizza,Officer,Child,Dependant,,,"Plot 373, Water Works Road, Buwama, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Buwama,DB
NWSC-2026-02266,nw770a19b357181d5b8b90,NWSC-MEM-001323,NWSC-HH-000709,Joshua Lwanga,Staff,Child,Dependant,,,"Plot 687, High Street, Kisiita, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Kisiita,DB
NWSC-2026-02267,nw2dffd98f6a6772f842ab,NWSC-MEM-001324,NWSC-HH-000580,Catherine Kiconco,Officer,Sibling,Dependant,,,"Plot 490, Old Kampala Road, Semuto, Nakaseke District, Uganda",Central Region,Nakaseke,Kapeeka,Semuto,DB
NWSC-2026-02268,nwfea072b6e716d7b27a3c,NWSC-MEM-001325,NWSC-HH-000727,Collins Nanyonga,Staff,Child,Dependant,,,"Plot 967, Civic Road, Mbulamuti, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Mbulamuti,DB
NWSC-2026-02269,nwbf01f82acec4bc4ead6e,NWSC-MEM-001326,NWSC-HH-000524,Jackie Bukenya,Staff,Child,Dependant,,,"Plot 498, Water Works Road, Kapeeka, Nakaseke District, Uganda",Central Region,Nakaseke,Kapeeka,Kapeeka,DB
NWSC-2026-02270,nw9f033bf53f7b04a6c755,NWSC-MEM-001327,NWSC-HH-000773,Kato Alupo,Staff,Spouse,Dependant,,,"Plot 376, Mission Road, Mpigi, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Mpigi,DB
NWSC-2026-02271,nwb647b5fe557afbca84ec,NWSC-MEM-001328,NWSC-HH-000667,Prossy Mukasa,Officer,Sibling,Dependant,,,"Plot 864, Lake View Road, Buwenge, Jinja District, Uganda",Central Region,Jinja,Jinja,Buwenge,DB
NWSC-2026-02272,nw857858a6512fb79ffffa,NWSC-MEM-001329,NWSC-HH-000679,Samuel Walusimbi,Management,Spouse,Dependant,,,"Plot 532, Civic Road, Kisiita, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Kisiita,DB
NWSC-2026-02273,nwbfe51e6512650d0c58d8,NWSC-MEM-001330,NWSC-HH-000685,Violet Senyonga,Management,Spouse,Dependant,,,"Plot 571, Hospital Road, Kalungu, Kalungu District, Uganda",Central Region,Kalungu,Kalungu,Kalungu,DB
NWSC-2026-02274,nw7a020b7367d4ebde3cf0,NWSC-MEM-001331,NWSC-HH-000827,Martha Kizza,Staff,Spouse,Dependant,,,"Plot 43, Hospital Road, Kalisizo, Kyotera District, Uganda",Central Region,Kyotera,Kyotera,Kalisizo,DB
NWSC-2026-02275,nw9813368a2379e4506d62,NWSC-MEM-001332,NWSC-HH-000791,Godfrey Otieno,Staff,Child,Dependant,,,"Plot 489, Main Street, Njeru, Jinja District, Uganda",Central Region,Jinja,Jinja,Njeru,DB
NWSC-2026-02276,nw3231c69f071c719370db,NWSC-MEM-001333,NWSC-HH-000567,Peter Okot,Staff,Child,Dependant,,,"Plot 472, Main Street, Lugazi, Buikwe District, Uganda",Central Region,Buikwe,Lugazi,Lugazi,DB
NWSC-2026-02277,nw03b7e1dcf661b1d7a930,NWSC-MEM-001334,NWSC-HH-000652,Opio Nantongo,Officer,Child,Dependant,,,"Plot 134, Council Road, Sanje, Kyotera District, Uganda",Central Region,Kyotera,Kyotera,Sanje,DB
NWSC-2026-02278,nw35c1c6bb4d248b39a6e8,NWSC-MEM-001335,NWSC-HH-000556,Stella Opio,Staff,Child,Dependant,,,"Plot 441, Market Street, Kalungu, Kalungu District, Uganda",Central Region,Kalungu,Kalungu,Kalungu,DB
NWSC-2026-02279,nwbdea7be75d3827ed7508,NWSC-MEM-001336,NWSC-HH-000621,Noah Aciro,Staff,Spouse,Dependant,,,"Plot 561, Lake View Road, Jinja, Jinja District, Uganda",Central Region,Jinja,Jinja,Jinja,DB
NWSC-2026-02280,nw19d70f24d4b7813fd41f,NWSC-MEM-001337,NWSC-HH-000838,Richard Mugisha,Staff,Parent,Dependant,,,"Plot 203, Council Road, Kasambya, Mubende District, Uganda",Central Region,Mubende,Mubende,Kasambya,DB
NWSC-2026-02281,nw44fe8583225afb9782ea,NWSC-MEM-001338,NWSC-HH-000630,Annet Waiswa,Staff,Child,Dependant,,,"Plot 72, School Lane, Luweero, Luweero District, Uganda",Central Region,Luweero,Luweero,Luweero,DB
NWSC-2026-02282,nw4e447637d4f276ec0047,NWSC-MEM-001339,NWSC-HH-000522,Paul Nakimuli,Officer,Sibling,Dependant,,,"Plot 779, Reservoir Road, Naluwerere, Bugiri District, Uganda",Central Region,Bugiri,Bugiri,Naluwerere,DB
NWSC-2026-02283,nw243aed0c581f27eddbf4,NWSC-MEM-001340,NWSC-HH-000552,Angela Nabirye,Staff,Child,Dependant,,,"Plot 58, Station Road, Iganga, Iganga District, Uganda",Central Region,Iganga,Iganga,Iganga,DB
NWSC-2026-02284,nw41324681fc49462a2fd2,NWSC-MEM-001341,NWSC-HH-000737,Timothy Mutebi,Officer,Child,Dependant,,,"Plot 245, Hospital Road, Bukomero, Nakaseke District, Uganda",Central Region,Nakaseke,Kapeeka,Bukomero,DB
NWSC-2026-02285,nw073b3b75c28a8c687c3d,NWSC-MEM-001342,NWSC-HH-000808,Margaret Kagoya,Officer,Child,Dependant,,,"Plot 979, School Lane, Migeera, Nakasongola District, Uganda",Central Region,Nakasongola,Nakasongola,Migeera,DB
NWSC-2026-02286,nwd011dc623c109d8d4d9a,NWSC-MEM-001343,NWSC-HH-000837,Ritah Odongo,Staff,Spouse,Dependant,,,"Plot 580, Reservoir Road, Katabi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Katabi,DB
NWSC-2026-02287,nwfc5519d5319cd02a6b2b,NWSC-MEM-001344,NWSC-HH-000642,John Biryomumaisho,Staff,Child,Dependant,,,"Plot 474, Commercial Street, Kiyinda, Mityana District, Uganda",Central Region,Mityana,Mityana,Kiyinda,DB
NWSC-2026-02288,nw4746a632c002a69360a2,NWSC-MEM-001345,NWSC-HH-000511,Mary Obote,Staff,Child,Dependant,,,"Plot 243, Main Street, Iganga, Iganga District, Uganda",Central Region,Iganga,Iganga,Iganga,DB
NWSC-2026-02289,nw69b23b1c3c19742ff2e6,NWSC-MEM-001346,NWSC-HH-000821,Judith Biryomumaisho,Staff,Spouse,Dependant,,,"Plot 924, Industrial Lane, Kayabwe, Mpigi District, Uganda",Central Region,Mpigi,Buwama,Kayabwe,DB
NWSC-2026-02290,nwd8b97fdb1ab227fec7fb,NWSC-MEM-001347,NWSC-HH-000574,Kato Obote,Staff,Sibling,Dependant,,,"Plot 618, Hospital Road, Kajjansi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Kajjansi,DB
NWSC-2026-02291,nwa513a7b3d59ba91eb436,NWSC-MEM-001348,NWSC-HH-000837,Brenda Wamala,Staff,Spouse,Dependant,,,"Plot 580, Reservoir Road, Katabi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Katabi,DB
NWSC-2026-02292,nw122d4df77266f97939b0,NWSC-MEM-001349,NWSC-HH-000660,Andrew Akena,Officer,Child,Dependant,,,"Plot 647, Industrial Lane, Nkozi, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Nkozi,DB
NWSC-2026-02293,nwd0ba1218c1572a5bcf55,NWSC-MEM-001350,NWSC-HH-000843,Patrick Otieno,Staff,Spouse,Dependant,,,"Plot 540, Spring Road, Nyalweyo, Kakumiro District, Uganda",Central Region,Kakumiro,Kakumiro,Nyalweyo,DB
NWSC-2026-02294,nw5a63a70216c84bfe12e8,NWSC-MEM-001351,NWSC-HH-000507,Peter Tusubira,Management,Parent,Dependant,,,"Plot 250, Hill Road, Kibibi, Mpigi District, Uganda",Central Region,Mpigi,Buwama,Kibibi,DB
NWSC-2026-02295,nwc9e8d0fc56bcfb82665b,NWSC-MEM-001352,NWSC-HH-000799,Akello Baluku,Staff,Child,Dependant,,,"Plot 75, Commercial Street, Kiryandongo, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Kiryandongo,DB
NWSC-2026-02296,nw3cba2a5454e63ca4afdc,NWSC-MEM-001353,NWSC-HH-000536,Ben Nakimuli,Staff,Spouse,Dependant,,,"Plot 946, Water Works Road, Bweyale, Kiryandongo District, Uganda",Central Region,Kiryandongo,Kigumba,Bweyale,DB
NWSC-2026-02297,nw74016fbd60d76a34c507,NWSC-MEM-001354,NWSC-HH-000797,Joseph Agaba,Officer,Child,Dependant,,,"Plot 923, Church Road, Naluwerere, Bugiri District, Uganda",Central Region,Bugiri,Bugiri,Naluwerere,DB
NWSC-2026-02298,nwbd084d69c6dc3e58a140,NWSC-MEM-001355,NWSC-HH-000615,David Akello,Officer,Spouse,Dependant,,,"Plot 738, Commercial Street, Nkozi, Mpigi District, Uganda",Central Region,Mpigi,Mpigi,Nkozi,DB
NWSC-2026-02299,nwe4a9399a5c8290209797,NWSC-MEM-001356,NWSC-HH-000759,Noah Ocen,Officer,Child,Dependant,,,"Plot 54, Commercial Street, Bombo, Luweero District, Uganda",Central Region,Luweero,Luweero,Bombo,DB
NWSC-2026-02300,nw89d5bf8ec4b2cd8d4dcb,NWSC-MEM-001357,NWSC-HH-000638,Stella Senyonga,Staff,Parent,Dependant,,,"Plot 199, Hospital Road, Nakasongola, Nakasongola District, Uganda",Central Region,Nakasongola,Nakasongola,Nakasongola,DB
NWSC-2026-02301,nw66cd4bfce6d05cd11f2a,NWSC-MEM-001358,NWSC-HH-000833,Stephen Katumba,Staff,Child,Dependant,,,"Plot 480, Station Road, Kisozi, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Kisozi,DB
NWSC-2026-02302,nwef7270c7327e7d7bd182,NWSC-MEM-001359,NWSC-HH-000604,Sylvia Kiconco,Management,Spouse,Dependant,,,"Plot 648, Station Road, Kasambya, Mubende District, Uganda",Central Region,Mubende,Mubende,Kasambya,DB
NWSC-2026-02303,nw1f92756c7bf354fe9bca,NWSC-MEM-001360,NWSC-HH-000690,Ritah Kiconco,Officer,Child,Dependant,,,"Plot 543, Old Kampala Road, Kasambya, Mubende District, Uganda",Central Region,Mubende,Mubende,Kasambya,DB
NWSC-2026-02304,nw705cdd2e632334e03d84,NWSC-MEM-001361,NWSC-HH-000574,Violet Obote,Staff,Child,Dependant,,,"Plot 618, Hospital Road, Kajjansi, Wakiso District, Uganda",Central Region,Wakiso,Entebbe,Kajjansi,DB
NWSC-2026-02305,nw81c858b00f2a6fbbdf87,NWSC-MEM-001362,NWSC-HH-000729,Samuel Nalubega,Staff,Parent,Dependant,,,"Plot 939, Industrial Lane, Kamuli, Kamuli District, Uganda",Central Region,Kamuli,Kamuli,Kamuli,DB
